Road Type,Speed Limit,Lanes,Coordinates
tertiary,Unknown,Unknown,"[53077755, 4664813783, 668914779, 53077751]"
tertiary,Unknown,2,"[414541605, 414541650, 414541653, 9269151733, 414541655, 7229618031, 414541658, 53077751]"
secondary,20 mph,4,"[53118718, 4324593081, 4930036425, 4930036298, 4930036423, 6949608615, 2099274285, 53131003]"
footway,Unknown,Unknown,"[1943610783, 1943610774, 1943610781]"
pedestrian,Unknown,Unknown,"[1943610801, 11940735232, 1057348412]"
pedestrian,Unknown,Unknown,"[1943610801, 4625136717, 1057348193, 2429470580]"
service,Unknown,Unknown,"[1943610775, 1943610800, 1943610799, 1943610732]"
living_street,Unknown,Unknown,"[1943610801, 10050236202, 11940707054, 6290507457, 4625136736, 53027408]"
pedestrian,Unknown,Unknown,"[2442181608, 6290507392, 1057348203, 1943610709, 1943610801]"
footway,Unknown,Unknown,"[1943610774, 1943610770, 1943610762]"
footway,Unknown,Unknown,"[1057348359, 1943610764, 1943610710, 6290507484, 4625136719, 1943610793]"
tertiary,20 mph,2,"[53039591, 1956959124, 913951660, 603229295]"
steps,Unknown,Unknown,"[1943610788, 8747865257]"
footway,Unknown,Unknown,"[1057348412, 4625136716, 1057348127, 1057348359]"
living_street,20 mph,Unknown,"[2389032928, 4625136751, 2631832425, 2631832422, 2631832419, 2631832417, 2631832411, 2631832408, 2631832402]"
tertiary,Unknown,3,"[247491320, 4664813770, 5448591819, 7180575762, 4664813769, 231090846]"
footway,Unknown,Unknown,"[1950609156, 1950609226, 1950609188, 1950609184]"
footway,Unknown,Unknown,"[1950609179, 1950609193, 1950609216]"
footway,Unknown,Unknown,"[7214778997, 1864987704, 1950609218]"
steps,Unknown,Unknown,"[1950609150, 1950609210]"
steps,Unknown,Unknown,"[1950609191, 1950609166]"
footway,Unknown,Unknown,"[1864987708, 2906670556, 1677844658, 7214778994, 1419791196]"
steps,Unknown,Unknown,"[1950609216, 1419791194]"
footway,Unknown,Unknown,"[1950609193, 1950609214, 1950609190, 1950609181, 1950609187, 1950609177]"
footway,Unknown,Unknown,"[1950609218, 1950609185]"
primary,20 mph,3,"[283267096, 4324593083, 53077108]"
primary,20 mph,2,"[53077108, 4324593507, 6566608437, 4324593493, 53077109]"
secondary,Unknown,3,"[311937956, 239498108, 1313977330]"
tertiary,Unknown,2,"[1313977231, 1313977164, 1313977177]"
tertiary,Unknown,Unknown,"[239464365, 1313977282, 6830763846, 1313977217, 239464366, 4158181300, 3336365762, 6974430980, 1313977196]"
primary,35 mph,3,"[4090283151, 1313977310, 712666156, 712665843, 3989624691, 1313976989, 3989624690]"
primary,35 mph,1,"[712664007, 2450063505, 712664598, 1313977367, 712664599, 712664010, 239496878]"
primary_link,Unknown,1,"[311936998, 311936999, 311937000, 712818428, 1313977368, 2169800146, 239470218]"
secondary,Unknown,2,"[65328690, 10178189128, 5020557546]"
footway,Unknown,Unknown,"[1960054392, 1960054383, 1960054400, 1332541743]"
pedestrian,Unknown,Unknown,"[1960054379, 5554083280, 5554083281, 5554083282, 1960054399, 5554083279, 5554083278, 1960054395, 1960054390, 1960054369, 1332541755, 3855236951, 3855236952, 1960054370, 1329019493, 1960054386, 1960054387, 1960054382, 1960054357, 1960054394, 1960054361, 1960054377, 1960054378, 1960054375, 1960054376, 1960054374, 1960054384, 1960054379]"
steps,Unknown,Unknown,"[1960054397, 1960054359, 1960054363, 65356460]"
footway,Unknown,Unknown,"[1960054387, 1332541752]"
secondary,25 mph,5,"[65281097, 10124769368, 6639406924]"
footway,Unknown,Unknown,"[1993196210, 283267094, 1993196209]"
footway,Unknown,Unknown,"[1993196186, 1993196192, 1993196188, 1993196187, 1993196210]"
motorway_link,Unknown,1,"[283267094, 283267095, 283267096]"
footway,Unknown,Unknown,"[4324593087, 2389032922, 1993196207, 4324593080]"
unclassified,Unknown,Unknown,"[1994957645, 8164603054, 3639912899, 10050236167, 1234610823, 53069740]"
residential,Unknown,Unknown,"[53039597, 913951650, 913951651, 4664813719]"
steps,Unknown,Unknown,"[1996610636, 1996610651]"
footway,Unknown,Unknown,"[1996610648, 1996610634]"
footway,Unknown,Unknown,"[6329652184, 6329652183, 6329652182, 6329652634, 6329652181, 9971237417, 6329652986]"
footway,Unknown,Unknown,"[6329652180, 945301876, 1723633824, 1996610636, 1723633963, 945301563, 6329652629]"
footway,Unknown,Unknown,"[11087108338, 11087108339]"
service,Unknown,Unknown,"[3790090975, 3790090976, 2000664441, 2000664455, 9649634928, 3790090979, 2000664440, 11082655504, 3790090970, 4407415475, 3790090973, 3790090978, 3790090969, 3790090971, 3790090972, 3790090964, 3790090963, 3790090975]"
service,Unknown,Unknown,"[2020096868, 10779201047, 4145416869, 2020096870, 3969156252, 4145416868]"
footway,Unknown,Unknown,"[7228212645, 11022496931, 2035213216]"
primary,20 mph,5,"[10017569602, 4595671545, 1419266521, 9706559767]"
primary,20 mph,5,"[4169924612, 4595671521, 53077110]"
footway,Unknown,Unknown,"[371249948, 371249983]"
footway,Unknown,Unknown,"[371249952, 2064190364]"
footway,Unknown,Unknown,"[371249954, 11369958277, 2064190349]"
footway,Unknown,Unknown,"[2064190377, 11369958270, 11369958271, 11369958279, 2064190386]"
footway,Unknown,Unknown,"[7231323891, 371249947]"
footway,Unknown,Unknown,"[371249962, 2064190367, 2064190371]"
footway,Unknown,Unknown,"[2064190355, 371249993, 2064190375]"
footway,Unknown,Unknown,"[7231323892, 371249978, 371249979, 371249980]"
footway,Unknown,Unknown,"[2064190366, 2064190392, 371249980, 371249981, 371249982, 371249983]"
footway,Unknown,Unknown,"[371249979, 371249972]"
service,10 mph,Unknown,"[1059024756, 1059024944, 9119037683, 1059024953, 1059024527, 1059024722, 2066705932, 1059024896, 1059025082, 1059024666, 2066705855, 8258482033]"
footway,Unknown,Unknown,"[2066705781, 2066706144, 2066705622]"
footway,Unknown,Unknown,"[2066705893, 2066706031, 2066706265, 2066706061, 2066706160, 2066706166, 2066705969, 2066705965, 2066705888, 2066705624, 2066705913]"
service,5 mph,Unknown,"[2066706083, 2066705970, 2066705698, 2066706272]"
service,10 mph,Unknown,"[2066706148, 2066705839]"
footway,Unknown,Unknown,"[2066706286, 2066705624]"
service,10 mph,Unknown,"[2066706117, 9119037679, 2066705855]"
service,10 mph,Unknown,"[2066705833, 2066705988, 2066705925, 2066705709, 2066705683, 9610415157, 9610415156, 2066706008]"
service,10 mph,Unknown,"[2066706072, 9610415165, 9610415166, 2066705709]"
footway,Unknown,Unknown,"[2066706113, 2066706022, 2066705972, 2066706156, 2066705721, 2066706039, 2066705966]"
service,5 mph,Unknown,"[2066705925, 9610415163, 9610415164, 2066705829, 2066705653, 2066705636, 9610415171, 9610415172, 2066705995]"
footway,Unknown,Unknown,"[2066705819, 2066705937, 2066705681, 2066705787, 2066706031, 2066706058]"
footway,Unknown,Unknown,"[2066705797, 2066705716, 2066706038]"
service,5 mph,Unknown,"[2066705908, 2066705882, 2066706272]"
footway,Unknown,Unknown,"[2066706061, 2066706284, 2066705803, 2066706069, 2066706054, 2066706014, 2066706097, 2066706104, 2066706074, 2066705940, 2066706010]"
footway,Unknown,Unknown,"[2066705859, 2066705915, 2066706137, 8778130031]"
footway,Unknown,Unknown,"[2066705695, 2066705966, 2066706242, 2066705653, 2066706142, 2066706011, 2066705740, 11086741772, 11086741773, 11086741774, 11086741775, 11086741776, 11086741777, 11086741778]"
service,10 mph,Unknown,"[2066706246, 2066705595, 2066705868, 1059024732]"
service,5 mph,Unknown,"[2066705595, 2066705837]"
unclassified,15 mph,Unknown,"[2066705695, 2066706170, 3696871383, 2066706020, 239498817]"
footway,Unknown,Unknown,"[2066705888, 2066706050, 2066705947, 2066706260]"
footway,Unknown,Unknown,"[2066705893, 2066705907, 2066706219, 2066705713]"
service,10 mph,Unknown,"[2066706169, 9610415161, 9610415162, 2066705988]"
service,5 mph,Unknown,"[2066705636, 2066705948, 2066705926, 9610415170, 9610415169, 2066705758, 2066705697, 2066705995, 9610415173, 11086741771, 2066706143]"
tertiary,Unknown,2,"[1315702576, 1315702567, 1315702614, 2450063486, 1315702611, 2450063471, 2066705968, 2450063492, 2066706099, 2169800136, 1315702584, 2450063513, 2450063468, 4179608452]"
service,5 mph,Unknown,"[2066705698, 11086741769, 2066705697, 9610415167, 9610415168, 2066705948]"
footway,Unknown,Unknown,"[2066705585, 2066706149, 2066706050]"
service,10 mph,Unknown,"[1059024913, 9610415155, 2066706113, 2066706008, 2066706072, 2066705829, 2066706169, 2066705942, 9610415160, 9610415159, 2066705833, 2066706039, 9610415158, 2066706170]"
footway,Unknown,Unknown,"[2066705721, 2066706020, 2066706231]"
tertiary,Unknown,1,"[2169800116, 2169800121, 1315702593, 9119031509, 2066706221, 2066706043, 2066706078, 2169800125, 2169800127, 2450063469, 2450063482]"
footway,Unknown,Unknown,"[2066705960, 2066706215, 2066705963]"
footway,Unknown,Unknown,"[2066705807, 2066705750, 2066705848]"
footway,Unknown,Unknown,"[2066706130, 2066706296, 2066706219, 2066705733, 2066706058, 2066706265]"
footway,Unknown,Unknown,"[2066706205, 2066705854, 2066705835, 9119037682, 2066705622, 2066705801, 2066706022]"
unclassified,15 mph,Unknown,"[1059024792, 1059024756]"
service,5 mph,Unknown,"[2066706272, 2066705961]"
service,10 mph,Unknown,"[2066705964, 2066706146]"
service,Unknown,Unknown,"[2066705908, 2066705961, 2066706083]"
footway,Unknown,Unknown,"[2066705861, 2066705947, 2066706149]"
service,10 mph,Unknown,"[2066706280, 9610415180, 9610415179, 1059024775, 1059024606]"
footway,Unknown,Unknown,"[2066706178, 2066706195, 9610415175, 2066706294]"
service,5 mph,Unknown,"[2066706246, 1059024548, 1059024688, 1059024825, 1059024606, 2066706294, 9610415174, 53142973]"
service,10 mph,Unknown,"[1059024981, 2066705775, 2066705974, 2066705803, 2066706202, 2066705605, 1059024570]"
footway,Unknown,Unknown,"[2066705592, 2066705953, 2066705932, 2066706027, 2066705663, 2066706260, 2066705861, 2066706205, 2066705913, 2066705892, 2066705661, 2066705630, 2066705781, 2066705574, 2066706203, 2066705588, 2066705706, 2066705807, 2066705873, 2066706278, 2066705713, 2066706130, 2066705770, 2066706041, 2066706195]"
footway,Unknown,Unknown,"[2066705892, 2066705939, 2066706154, 2066706286, 2066705704, 2066705949, 2066706203]"
footway,Unknown,Unknown,"[1059024570, 2066705601, 2066705965]"
footway,Unknown,Unknown,"[2066705878, 2082852111, 2066706038, 2066705963, 2082852112, 1059024600]"
footway,Unknown,Unknown,"[9119037672, 2066705590, 2066706228, 2066706165, 2066705975, 2066706231, 2066705599, 2066706053, 2066705762]"
residential,Unknown,Unknown,"[1056929905, 1056930221, 1056930017]"
footway,Unknown,Unknown,"[2066727910, 2066727919]"
residential,Unknown,Unknown,"[53130033, 1056930236, 53107892, 1059025058, 3123630265, 53130038, 1059024958, 1056929955, 2392029393, 1056952516, 4407346610, 53068646]"
footway,Unknown,Unknown,"[2066727911, 2066727904]"
living_street,Unknown,Unknown,"[1056929981, 2066727913]"
residential,Unknown,Unknown,"[1056929966, 1056929896, 1056930100]"
living_street,Unknown,Unknown,"[1056952527, 2066727906, 2066727902]"
footway,Unknown,Unknown,"[7209981549, 5318468071, 1419794014]"
footway,Unknown,Unknown,"[2068535613, 2068535626, 7228380531, 2068535616]"
footway,Unknown,Unknown,"[2068535635, 2068535634, 2068535619, 2068535629, 1419794011]"
footway,Unknown,Unknown,"[2068535610, 2068535622, 2068535618]"
footway,Unknown,Unknown,"[2068535628, 5858516701, 6340578979, 6250503366, 2068535636, 6250503367, 1419794114]"
footway,Unknown,Unknown,"[2068535611, 2068535607, 2068535635]"
footway,Unknown,Unknown,"[2068535614, 1677860418]"
footway,Unknown,Unknown,"[1419794104, 2068535604, 2068535627, 2068535631, 6340636632, 5858516695, 5854921240, 2068535613]"
footway,Unknown,Unknown,"[2068535616, 5854921236, 1723738961, 2068535611]"
secondary,Unknown,4,"[1747119700, 1747119693, 558625061]"
footway,Unknown,Unknown,"[1207466284, 2069658765, 2069658743, 310986101, 2069658717, 2069658766, 2069658760, 2069658781, 2069658782, 2069658783, 2069658776, 2069658775, 2069658784, 2069658773, 2069658772, 2069658778, 2069658770, 2069658771, 1455172152, 1455172135, 1207466292, 1207466216, 1207466213, 1207466293, 1207466256, 2069658722, 2069658904, 2069658897, 1207466284]"
steps,Unknown,Unknown,"[2069658855, 2069658847]"
steps,Unknown,Unknown,"[2069658632, 2069658636]"
footway,Unknown,Unknown,"[2069658779, 2069658752, 2069658750, 2069658850, 2069658735, 2069658708, 2069658829, 2069658672, 2069658613, 2069658611, 2069658612, 2069658614, 2069658615, 2069658616, 1875237163, 2069658617, 2069658621, 2069658618, 2069658619, 2069658620, 2069658622, 2069658624, 2069694232, 2069658623]"
footway,Unknown,Unknown,"[2069658629, 2069658627, 1860884663]"
pedestrian,Unknown,Unknown,"[2069658720, 2069658653, 2069658658, 2069658899, 2069658764, 2069658834, 2069658843, 2069658827, 2069658662, 2069658903, 2069658731, 2069658839, 2069658838, 2069658780, 2069658841, 2069658840, 2069658842, 2069658719, 2069658684, 2069658686, 2069658720]"
footway,Unknown,Unknown,"[2069658636, 2069658740, 833665782]"
path,Unknown,Unknown,"[311437023, 11938344334, 10707668372, 10828429343, 370181215, 1206800277, 311437025, 1206800283, 5301264454, 311437072, 311437028, 5301264458, 311437043, 2071280042]"
footway,Unknown,Unknown,"[2069694259, 5372051477, 2069694245, 2069694263, 2069658898, 2069694267, 2069694237, 6248372459]"
footway,Unknown,Unknown,"[2069694267, 2069658879]"
footway,Unknown,Unknown,"[2069694247, 2069658695]"
footway,Unknown,Unknown,"[2069658883, 2069658736, 2069658652]"
footway,Unknown,Unknown,"[2069658905, 2069658727, 2069658853, 2069658894, 2069658769, 2069658674, 2069658668]"
footway,Unknown,Unknown,"[2069658858, 2069658769, 2069658748, 2069658893, 2069658868, 2069694266, 2069658746, 2069658889, 2069658858]"
footway,Unknown,Unknown,"[2069658812, 2069658820, 2069658803, 2069658800, 2069658816, 2069658623, 2069658819, 2069658809, 2069658796, 2069658807, 1860892039, 2069658725, 2069658791, 2069658797, 2069658808, 2069658801, 2069658810, 2069658795, 2069658818, 2069658814, 2069658822, 2069658812]"
footway,Unknown,Unknown,"[2069658821, 2069658761, 2069658849, 2069658723, 3842669518, 2069658900, 2069658813]"
footway,Unknown,Unknown,"[2069658740, 2069658629, 2069658848, 2069658625, 2069658844, 2069658880, 2069658634, 2069658638, 2069658640, 2069658678, 2069694265, 2069658808]"
footway,Unknown,Unknown,"[2069658825, 833665800, 833665799, 914201385, 833665798, 833665755, 833665797, 1860884663, 2069658632]"
footway,Unknown,Unknown,"[2069658824, 2069658613]"
pedestrian,Unknown,Unknown,"[2069658899, 2069658658, 2069658653, 2069658649, 297844222, 2069658747, 2069658900, 297844221, 8741014659, 310985987, 10164958604, 1875237157, 366730449, 2920675027, 2920675626, 914201445, 2069658852, 2920675629, 297844218, 2069658761, 2069658888, 2069658903, 2069658662, 2069658827, 2069658843, 2069658834, 2069658764, 2069658899]"
pedestrian,Unknown,Unknown,"[2069658842, 2069658840, 2069658841, 2069658780, 2069658838, 2069658839, 2069658837, 2069658883, 2069658835, 2069658855, 2069658836, 2069658872, 2069658833, 2069658710, 2069658707, 2069658706, 2069658711, 2069694254, 2069658705, 2069658704, 2069658703, 2069658701, 10164958603, 2069658702, 2069658700, 2069658699, 2069658698, 2069658697, 10164958602, 2069658693, 2069658640, 2069658688, 2069658634, 2069658720, 2069658686, 2069658684, 2069658719, 2069658842]"
footway,Unknown,Unknown,"[2069658844, 2069658905, 2069694259]"
footway,Unknown,Unknown,"[2069658723, 2069658852, 2069658846, 5372052439, 1454042348]"
footway,Unknown,Unknown,"[2069658714, 2069658668, 2069658902]"
footway,Unknown,Unknown,"[2069658847, 2069658788]"
footway,Unknown,Unknown,"[2069658779, 2069658652, 2069658821, 2069658881, 2069658882, 2069658874, 2069658870, 2069658775]"
pedestrian,Unknown,Unknown,"[2069658747, 297844222, 2069658649, 2069658880, 2069658890, 2069658792, 2069658848, 2069658651, 2069658670, 2069694234, 2069658741, 2069658738, 2069658853, 2069694263, 2069658729, 2069694258, 9699122987, 2069658767, 2069658747]"
steps,Unknown,Unknown,"[2069658872, 2069658788]"
path,Unknown,Unknown,"[7209260210, 6384096456, 3910307147, 6929076621, 1742314527, 1742314529, 2180597877, 4406691697, 1723633798, 1742314532, 4406691752, 1742314536, 4406691766, 2180597878, 6316627912, 1742314538, 4074897694, 2071280051, 4074897715, 2071280055, 1742314579, 1742314599, 1742314604, 1742314609, 1742314615, 4406691890, 1742314616, 4406691896, 1742314617, 311437023]"
footway,Unknown,Unknown,"[2069658869, 2069658815, 2069658805, 2069658806, 2069658831, 2069658799, 2069658862, 2069658798, 2069658804, 2069658794, 2069658817, 2069658790, 2069658825, 2069658787, 2069658811, 2069658789, 2069658824, 2069658785, 2069658774, 2069658832, 2069658869]"
footway,Unknown,Unknown,"[2069658788, 2069658709]"
footway,Unknown,Unknown,"[2069658709, 2069658739, 2069658884]"
footway,Unknown,Unknown,"[1108824696, 4406691959, 6319310916, 302737030, 4406691960]"
footway,Unknown,Unknown,"[2069658772, 2069658892, 2069658891, 2069658886, 2069658691, 2069658887, 2069658831]"
footway,Unknown,Unknown,"[2069658622, 2069658682, 2069658857, 2069658736]"
footway,Unknown,Unknown,"[2069658884, 2069658847]"
footway,Unknown,Unknown,"[2069658760, 2069658762, 2069658758, 265506623, 2069658821]"
footway,Unknown,Unknown,"[6371296697, 2069658866, 2069658763, 2069658680, 2069658895, 2069658629]"
footway,Unknown,Unknown,"[2069658878, 2069694247, 2069694236]"
footway,Unknown,Unknown,"[2069694266, 2069694264]"
pedestrian,Unknown,Unknown,"[2069694237, 2069694264, 2069694236, 6325969175, 6325969176, 6371296700, 6328181161, 6325969170, 6248372460, 6248372459, 6325969171, 6325969172, 6325969173, 2069694237]"
footway,Unknown,Unknown,"[2069694238, 2069694233, 6250503694, 7228212656]"
footway,Unknown,Unknown,"[2069694242, 2069694240]"
footway,Unknown,Unknown,"[2069694241, 4496150590, 2069694255, 4496150589, 2069694242]"
footway,Unknown,Unknown,"[2069694258, 4496150591, 2069694257, 1723739315, 2069694238]"
footway,Unknown,Unknown,"[2069658898, 2069658894, 2069658878, 2069658738, 2069658726, 2069658670, 2069658680]"
steps,Unknown,Unknown,"[2069658879, 2069658889]"
steps,Unknown,Unknown,"[2069658695, 2069658893]"
footway,Unknown,Unknown,"[2069694245, 2069694258]"
pedestrian,Unknown,Unknown,"[2069694232, 2069694231, 10164958599, 2069694262, 2069694260, 10164958600, 2069694230, 2069694253, 2069694252, 2069694261, 10164958601, 2069694256, 2069694265, 2069658693, 10164958602, 2069658697, 2069658698, 2069658699, 2069658700, 2069658702, 10164958603, 2069658701, 2069658703, 2069658704, 2069658705, 2069694254, 2069658711, 2069694232]"
platform,Unknown,Unknown,"[6326620045, 2069721991, 6326620044, 6326620047, 6326620046, 6326620045]"
platform,Unknown,Unknown,"[2069721992, 6326620042, 2069721988, 6326620050, 6326620041, 2069721992]"
footway,Unknown,Unknown,"[8945684704, 11261859843, 2069726476, 302728576, 6319310904, 2069726477, 5367527984, 2069726478, 8945684705]"
pedestrian,Unknown,Unknown,"[65328971, 2069739963, 65372268]"
residential,20 mph,Unknown,"[53026615, 4595671527, 4169924613]"
residential,20 mph,Unknown,"[53026619, 4595671551, 1068234067, 4169924614]"
primary,Unknown,4,"[53026617, 4595671538, 8873553332, 1068233659, 1068234228, 1068233603, 1490073430]"
footway,Unknown,Unknown,"[7228182789, 612028664, 2071244901]"
footway,Unknown,Unknown,"[2071244901, 7234098535, 2071244836]"
footway,Unknown,Unknown,"[2071269343, 2071244694, 2071244738, 6319310897, 2071244692, 5367527997, 2071244903, 2071244669]"
footway,Unknown,Unknown,"[8945676545, 2071244793, 2071244893, 6319310899, 2071244728, 5367527992, 4406692016, 8945676546]"
footway,Unknown,Unknown,"[2071244846, 8865870144, 2071244864, 2071244848, 6319307884, 2071244885, 2071244798, 2071269363]"
footway,Unknown,Unknown,"[2071244730, 2071244769, 2071244773, 2071244807, 2071244879, 2071244857]"
footway,Unknown,Unknown,"[2071244720, 432352136]"
footway,Unknown,Unknown,"[1455172176, 7233578536, 7228114383, 7228114384, 3719584370, 3719584369, 2071244730, 2071244805, 2071244910]"
footway,Unknown,Unknown,"[8945676547, 11261859841, 2071244712, 2071244761, 6319310901, 2071244815, 5367527991, 2071244884, 2071244805]"
footway,Unknown,Unknown,"[11938344277, 2071280038, 4406691782, 4406691783, 2071280047, 2071280043]"
cycleway,Unknown,Unknown,"[311437023, 11938344335, 10828429339, 2071280040, 10828429341, 2071280049, 4406691914, 4406691916, 2071280053, 2071280048, 2071280046, 2071280044, 2071280056, 2071280041, 2071280058, 2071280042]"
service,Unknown,Unknown,"[2072636906, 2072636907]"
service,Unknown,Unknown,"[2072636914, 2072636910]"
service,Unknown,Unknown,"[2072636910, 2072636906]"
footway,Unknown,Unknown,"[7231543999, 2081705836, 7231522383, 7231544002]"
footway,Unknown,Unknown,"[7231544000, 2081705786, 7231522382, 7231544001]"
steps,Unknown,Unknown,"[9333093004, 9333093010, 2089587809, 10739669918, 10739669916, 2089587805, 2089587803, 2089587806, 9333093001, 2089587811, 10739669911, 10739669912, 10739669914, 10739669913, 2089587804, 2089587812]"
footway,Unknown,Unknown,"[2090822711, 2090822722, 2090822712, 2090822716, 2090822715, 2090822718, 2090822713]"
primary,Unknown,2,"[283261776, 283261777, 283261768]"
primary,Unknown,3,"[558625077, 4664813760, 6938690556, 4664813752, 53077736, 53077734, 4664813741, 53077731, 4664813739, 4664813735, 52989622, 4664813734, 822490536, 6938690555, 4664813729, 53077730]"
footway,Unknown,Unknown,"[2101121570, 7209007977, 2101121531, 6329652899, 11110805853, 6329652901]"
footway,Unknown,Unknown,"[9923460400, 5326946951, 2101121559, 2101121539, 2101121563, 5326946953]"
footway,Unknown,Unknown,"[2101121550, 1996610642, 4402491094, 1996610648, 4402491096, 2101121530, 2101121546]"
footway,Unknown,Unknown,"[2101121570, 6329528594, 6329525581, 6329525582, 2101121528, 2101121535]"
footway,Unknown,Unknown,"[6329652625, 6329652620, 6329652621, 2101121546]"
footway,Unknown,Unknown,"[2101121539, 2101121537]"
footway,Unknown,Unknown,"[2101121536, 2101121548]"
footway,Unknown,Unknown,"[10780760716, 2101121574, 2101121553, 2101121545, 2101121548, 2101121558, 2101121533, 2101121529, 10780759329]"
footway,Unknown,Unknown,"[2101121531, 2101121576, 4402491111, 4402491110, 4402491108, 4402491107, 2101121561, 2101121546]"
residential,Unknown,Unknown,"[53078102, 10050236140, 53078105, 4625136763, 4625136779, 53077777]"
tertiary,20 mph,2,"[603229295, 4625136758, 6566608433, 7531037713, 4625136773, 53077103]"
tertiary,Unknown,Unknown,"[53039591, 4625136750, 6566608430, 4625136739, 53027408, 4625136735, 6566608431, 1057348156, 266439581]"
residential,Unknown,Unknown,"[603229293, 2450052068, 4930036634, 6407468992]"
tertiary,Unknown,Unknown,"[4625136726, 603229541, 913951649, 603229293]"
tertiary,Unknown,Unknown,"[603229295, 2389032926]"
residential,Unknown,Unknown,"[53078101, 4625136720, 6566608429, 53112122]"
residential,Unknown,Unknown,"[53078101, 4625136723, 3132807329, 1943610735, 53112124]"
residential,Unknown,Unknown,"[228579106, 10050241336, 10050241334, 4930036629, 10050241337, 10050241341, 53027410]"
residential,Unknown,2,"[53113819, 4625136729, 4930036692, 53078102]"
service,Unknown,Unknown,"[2119952542, 2119952805]"
service,Unknown,Unknown,"[2119952654, 2119952662, 2119952666, 2119952824]"
service,Unknown,Unknown,"[2119952553, 2119952805, 2119952552, 2119952824, 2119952654, 2119952549, 2119952548]"
service,Unknown,Unknown,"[1234559801, 1234559756]"
tertiary,25 mph,Unknown,"[53025279, 6974430924, 4593169123, 53025277, 4598431937, 4598431941, 4407415518, 4941805162, 3012086956, 4941789259, 4941789260, 4941789252, 7264298770, 11336845875, 53025275]"
service,Unknown,Unknown,"[2119952556, 2119952553]"
service,Unknown,Unknown,"[2119952830, 8793974490, 2119952735, 2119952733]"
unclassified,Unknown,2,"[53025013, 1234594435, 712658200, 5459609740, 53023537, 53025014]"
primary,20 mph,2,"[53077109, 4324593084, 4595670875, 53055586]"
secondary,20 mph,4,"[53077108, 4324593492, 7105216372, 4930036291, 4930036284, 6946552153, 4324593086, 53027364]"
secondary,Unknown,2,"[53026612, 3393107765, 4930036267]"
primary,20 mph,5,"[53077112, 4595671528, 6412629660, 2121568590]"
primary,20 mph,4,"[3244767454, 3244767453, 6412629650, 6412629649, 9706559768]"
tertiary,20 mph,Unknown,"[1723739266, 6250503375, 6371115785, 6339001690, 1723738831]"
secondary,20 mph,4,"[53026610, 4595670868, 1068470812, 5567554593, 4930036278, 4930036276, 53081393]"
secondary,35 mph,Unknown,"[414539007, 53090248]"
tertiary,35 mph,2,"[52979813, 10178929091, 4919279768, 4919279765, 4919279758]"
secondary,Unknown,2,"[4563222317, 6949608611, 670158115, 5448592063, 53083881, 4169902532]"
secondary,Unknown,3,"[558625102, 558625103, 4567956953, 414539013, 1747119623, 6952950520, 414539014, 7184397959, 414539015, 1747119595, 414539016, 1747119676, 4664813772, 247491320]"
tertiary,Unknown,3,"[5048231614, 4600312226, 53128400, 1315753855, 712804203]"
residential,Unknown,Unknown,"[1313977365, 6974430972, 4600408716, 3759201405, 3759201402, 6974430971, 11565845213, 53121867]"
secondary,25 mph,4,"[239494377, 5965698349, 5459782263]"
tertiary,Unknown,3,"[8889472327, 53043031, 1234578901, 1234578896, 1234578913, 1234578819, 1234578821, 1234578846, 53043033]"
tertiary,Unknown,Unknown,"[1313977094, 1313977114, 1313977089, 1313977059, 1313977117, 1313977245]"
tertiary,Unknown,Unknown,"[1313977006, 1313977075, 1313977123, 1313977077, 1313977028, 6974430978, 4684544812, 1313977195, 1313977286]"
residential,Unknown,2,"[53025275, 11336845877, 53047583, 4626575409, 4941789230, 4626575412, 53125758, 53125760, 1234559780, 4407400763, 4407400770, 53046122, 53029658, 53125763]"
tertiary,Unknown,Unknown,"[53108138, 7264298764, 4941789233, 4941789232, 4941789242, 7264298759, 53025279]"
secondary,Unknown,Unknown,"[414539006, 53126753]"
primary,45 mph,3,"[239487900, 2450063506, 2066705920, 239487901, 2450063485, 712664373, 1313977225, 239487902, 3790109610, 1313977017, 2169800121]"
primary,35 mph,2,"[239496878, 4269521712, 9119000875, 4269521713]"
primary,25 mph,5,"[4169596955, 712650848, 4318507212, 10003419692, 6470661944, 8778130038, 2066706134, 53118752]"
tertiary,Unknown,Unknown,"[53025279, 5446602794, 5446602796, 11336843289, 53025281]"
tertiary,Unknown,Unknown,"[2124287578, 4551979929, 7264298768, 53037289]"
tertiary,Unknown,Unknown,"[53037289, 7264298766, 6570708704]"
primary_link,Unknown,2,"[239470218, 239496877, 712818430]"
secondary,Unknown,2,"[414539006, 6949608610, 5448592068, 414537361, 3969038799]"
secondary,Unknown,2,"[53126753, 667761029, 5448592115, 6949608609, 5448592118, 414537973, 670158625, 3969045408]"
tertiary,Unknown,4,"[53146091, 4595671566, 10887818070, 9257884803, 4595671557]"
primary,Unknown,4,"[6412990065, 4595671539, 53026617]"
primary,Unknown,4,"[4595671557, 6239113538, 3393076272]"
motorway,50 mph,4,"[346138970, 1792795207, 1792795199, 4509833322, 1792795211, 1792795212, 258768989, 65371741, 5429899859]"
residential,25 mph,2,"[2130358743, 4930036666, 4930036667, 53069754]"
tertiary,Unknown,2,"[53069744, 4664813726, 53069746]"
